Name,Age,City,FinancialStatus,Meal_Drink,Dressing,Hobby
Sophia,8,Dallas,233,Chocolate Milk,T-shirt & Shorts,Cartoons
Ashley,38,Houston,3454,Steak,Sundress & Cardigan,Cooking
Ethan,7,Dallas,345,Chocolate Milk,Hoodie & Jeans,Cartoons
Daniel,44,Boston,6543,Green Smoothie,Formal Suit,Golf
Amanda,44,Dallas,6435,Wine,Sundress & Cardigan,Yoga
Daniel,39,Phoenix,8049,Salmon,Formal Suit,Wine Tasting
Joseph,65,Seattle,9599,Oatmeal,Sweater & Slacks,Knitting
Matthew,64,Boston,5345,Oatmeal,Plaid Shirt & Jeans,Knitting
Jennifer,51,Miami,2344,Red Wine,Comfortable Cardigan,Fishing
Michael,46,Los Angeles,3455,Wine,Sundress & Cardigan,Cooking
Ethan,20,Dallas,1231,Cold Brew Coffee,Summer Dress,Fitness
Michael,68,Houston,2234,Roast Turkey,Sweater & Slacks,Walking in the Park
James,58,San Francisco,2542,Oatmeal,Plaid Shirt & Jeans,Walking in the Park
Amanda,51,New York,2352,Tea,Plaid Shirt & Jeans,Fishing
Ethan,5,Seattle,2356,Chicken Nuggets,T-shirt & Shorts,Cartoons
Emma,9,Boston,2442,Mac & Cheese,Cartoon Pajamas,Cartoons
Matthew,62,Houston,2890,Roast Turkey,Comfortable Cardigan,Knitting
Sophia,10,San Francisco,167,Chicken Nuggets,T-shirt & Shorts,Lego Building
Robert,43,Los Angeles,3465,BBQ Ribs,Casual Shirt & Chinos,Wine Tasting
Mia,11,Los Angeles,235,Pizza,T-shirt & Shorts,Cartoons
John,23,Boston,2346,Pasta,Graphic Tee & Joggers,Photography
Mia,31,Seattle,4566,Salmon,Formal Suit,Cooking
Ethan,20,Boston,2545,Pasta,Business Casual,Photography
Sarah,62,Phoenix,4222,Oatmeal,Blazer & Dress Pants,Knitting
Ashley,18,Seattle,1444,Soda,Hoodie & Sweatpants,Social Media
Sarah,31,Dallas,388,BBQ Ribs,Khakis & Polo Shirt,Cooking
John,24,Dallas,2334,Pasta,Graphic Tee & Joggers,Photography
Daniel,42,Seattle,4234,Salmon,Khakis & Polo Shirt,Yoga
Ashley,64,Seattle,4567,Soup,Sweater & Slacks,Reading
Amanda,27,Phoenix,2333,Cold Brew Coffee,Graphic Tee & Joggers,Netflix Binging
Robert,10,Chicago,345,Peanut Butter & Jelly,School Uniform,Video Games
James,48,New York,5878,BBQ Ribs,Formal Suit,Cooking
Sarah,44,Phoenix,5535,Steak,Khakis & Polo Shirt,Golf
Amanda,60,Los Angeles,2323,Tea,Blazer & Dress Pants,Fishing
Daniel,36,Los Angeles,4546,Wine,Khakis & Polo Shirt,Gardening
William,48,Boston,3455,Steak,Casual Shirt & Chinos,Wine Tasting
Sarah,16,Phoenix,1233,Smoothie,Hoodie & Sweatpants,Music Streaming
Emma,51,Dallas,3465,Soup,Sweater & Slacks,Fishing
Ethan,17,Houston,1023,Burgers,Athleisure,Music Streaming
Amanda,62,Seattle,3452,Soup,Sweater & Slacks,Walking in the Park
Mia,10,Chicago,300,Mac & Cheese,School Uniform,Cartoons
Joseph,39,Miami,4670,Wine,Khakis & Polo Shirt,Gardening
Joseph,22,Dallas,2549,Avocado Toast,Business Casual,Traveling
Ethan,22,Boston,2877,Cold Brew Coffee,Jeans & Blazer,Hiking
Matthew,52,Chicago,4334,Roast Turkey,Plaid Shirt & Jeans,Fishing
Emma,16,Houston,1000,Soda,Athleisure,Online Gaming
Jessica,20,San Francisco,2623,Pasta,Business Casual,Traveling
Emma,70,New York,4533,Red Wine,Blazer & Dress Pants,Knitting
Robert,32,Los Angeles,4868,Salmon,Casual Shirt & Chinos,Cooking
Jessica,46,Chicago,4635,Steak,Formal Suit,Cooking
Ashley,16,Seattle,1234,Tacos,Hoodie & Sweatpants,Skateboarding
William,15,Los Angeles,1234,Fries,Denim Jacket & Jeans,Skateboarding
Matthew,32,San Francisco,4754,Steak,Khakis & Polo Shirt,Wine Tasting
William,32,Seattle,4987,Green Smoothie,Formal Suit,Golf
Ashley,20,Dallas,2533,Pasta,Business Casual,Fitness
Michael,31,Seattle,4447,Steak,Sundress & Cardigan,Yoga
Michael,20,Chicago,2343,Grilled Chicken,Business Casual,Hiking
Emma,14,Phoenix,1233,Soda,Athleisure,Music Streaming
Robert,14,Houston,1200,Soda,Athleisure,Skateboarding
Jennifer,31,Chicago,5098,Wine,Khakis & Polo Shirt,Gardening
Emma,60,New York,3454,Roast Turkey,Sweater & Slacks,Knitting
Olivia,36,Houston,5324,Wine,Sundress & Cardigan,Cooking
Emma,42,Dallas,4533,Salmon,Formal Suit,Cooking
David,62,Chicago,3965,Oatmeal,Comfortable Cardigan,Walking in the Park
Ashley,68,Phoenix,2293,Soup,Blazer & Dress Pants,Bird Watching
Emily,9,Seattle,332,Pizza,Hoodie & Jeans,Biking
Daniel,16,Miami,1222,Fries,Band T-shirt & Ripped Jeans,Social Media
Ethan,41,Miami,5672,Green Smoothie,Formal Suit,Wine Tasting
Jessica,37,Chicago,4532,Salmon,Casual Shirt & Chinos,Wine Tasting
William,65,Los Angeles,4225,Roast Turkey,Blazer & Dress Pants,Bird Watching
